28,28
58,30
102,44
104,2
117,13
122,5
140,18
159,19
187,28
212,25
225,13
287,62
291,4
292,1
323,31
331,8
336,5
337,1
341,4
376,35
377,1
378,1
379,1
383,4
384,1
390,6
395,5
440,45
445,5
474,29
487,13
492,5
509,17
517,8
541,24
570,29
587,17
594,7
627,33
662,35
683,21
694,11
738,44
742,4
744,2
753,9
757,4
762,5
765,3
766,1
789,23
790,1
800,10
808,8
812,4
849,37
862,13
864,2
869,5
898,29
900,2
901,1
928,27
935,7
937,2
945,8
949,4
955,6
962,7
972,10
977,5
983,6
984,1
994,10
995,1
1005,10
1013,8
1025,12
1050,25
1062,12
1068,6
1075,7
1077,2
1079,2
1083,4
1084,1
1096,12
1097,1
1106,9
1131,25
1132,1
1156,24
1164,8
1185,21
1193,8
1194,1
1199,5
1201,2
1211,10
1216,5
1217,1
1224,7
1232,8
1233,1
1235,2
1250,15
1266,16
1273,7
1307,34
1311,4
1333,22
1334,1
1377,43
1380,3
1381,1
1386,5
1390,4
1413,23
1424,11
1425,1
1456,31
1458,2
1461,3
1468,7
1469,1
1474,5
1482,8
1484,2
1487,3
1495,8
1510,15
1517,7
1521,4
1527,6
1530,3
1556,26
1557,1
1585,28
1600,15
1628,28
1662,34
1663,1
1668,5
1686,18
1687,1
1696,9
1701,5
1705,4
1716,11
1718,2
1724,6
1729,5
1734,5
1746,12
1762,16
1768,6
1771,3
1777,6
1783,6
1830,47
1843,13
1846,3
1847,1
1849,2
1850,1
1859,9
1872,13
1875,3
1934,59
1942,8
1948,6
1951,3
1965,14
1971,6
1980,9
2002,22
2054,52
2062,8
2063,1
2073,10
2086,13
2091,5
2092,1
2097,5
2099,2
2114,15
2117,3
2118,1
2144,26
2150,6
2161,11
2189,28
2192,3
2197,5
2198,1
2225,27
2231,6
2232,1
2243,11
2246,3
2251,5
2255,4
2302,47
2304,2
2321,17
2324,3
2329,5
2353,24
2361,8
2365,4
2369,4
2391,22
2392,1
2414,22
2428,14
2441,13
2496,55
2514,18
2571,57
2603,32
2612,9
2630,18
2710,80
2753,43
2760,7
2817,57
2831,14
2833,2
2843,10
2869,26
2880,11
2886,6
2889,3
2897,8
2915,18
2920,5
2936,16
2943,7
2959,16
2961,2
2966,5
2979,13
2990,11
3028,38
3032,4
3058,26
3080,22
3084,4
3099,15
3113,14
3123,10
3143,20
3166,23
3171,5
3188,17
3198,10
3200,2
3213,13
3214,1
3224,10
3236,12
3240,4
3289,49
3294,5
3300,6
3321,21
3329,8
3334,5
3372,38
3377,5
3386,9
3391,5
3416,25
3429,13
3435,6
3512,77
3525,13
3535,10
3588,53
3591,3
3592,1
3608,16
3626,18
3646,20
3655,9
3666,11
3669,3
3671,2
3711,40
3716,5
3732,16
3740,8
3768,28
3808,40
3812,4
3865,53
3889,24
3895,6
3903,8
3916,13
3921,5
3990,69
3994,4
4011,17
4019,8
4046,27
4047,1
4051,4
4053,2
4066,13
4071,5
4073,2
4077,4
4078,1
4082,4
4085,3
4102,17
4103,1
4148,45
4158,10
4176,18
4203,27
4217,14
4240,23
4247,7
4271,24
4280,9
4292,12
4302,10
4314,12
4320,6
4332,12
4405,73
4410,5
4503,93
4504,1
4511,7
4516,5
4534,18
4543,9
4549,6
4555,6
4556,1
4592,36
4613,21
4647,34
